State,Zip,Age,Sex,MaritalDesc,CitizenDesc,Hispanic/Latino,RaceDesc,Employment Status,Department,Position,Pay Rate,Manager Name,Employee Source,Performance Score,Work Experience
MA,1450,32,Female,Married,US Citizen,No,Black or African American,Active,Admin Offices,Accountant I,28.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,5666
MA,1460,33,Male,Divorced,US Citizen,No,Black or African American,Active,Admin Offices,Accountant I,23.0,Brandon R. LeBlanc,Website Banner Ads,Fully Meets,3769
MA,2703,31,Male,Single,US Citizen,No,White,Active,Admin Offices,Accountant I,29.0,Brandon R. LeBlanc,Internet Search,Fully Meets,3504
MA,2170,32,Female,Married,US Citizen,No,White,Active,Admin Offices,Administrative Assistant,21.5,Brandon R. LeBlanc,Pay Per Click - Google,N/A- too early to review,57
MA,2330,29,Female,Single,US Citizen,No,White,Active,Admin Offices,Administrative Assistant,16.56,Brandon R. LeBlanc,Website Banner Ads,N/A- too early to review,3290
MA,1844,30,Female,Married,US Citizen,No,Asian,Voluntarily Terminated,Admin Offices,Administrative Assistant,20.5,Brandon R. LeBlanc,Diversity Job Fair,Fully Meets,730
MA,1460,33,Male,Married,US Citizen,No,White,Active,Admin Offices,Shared Services Manager,55.0,Janet King,Monster.com,Fully Meets,3040
MA,2045,33,Male,Married,Eligible NonCitizen,No,Black or African American,Voluntarily Terminated,Admin Offices,Shared Services Manager,55.0,Janet King,Diversity Job Fair,Fully Meets,1635
MA,2468,30,Female,Married,US Citizen,No,Asian,Active,Admin Offices,Sr. Accountant,34.95,Brandon R. LeBlanc,Diversity Job Fair,90-day meets,3363
MA,2050,38,Female,Married,US Citizen,No,White,Active,Admin Offices,Sr. Accountant,34.95,Board of Directors,Other,Fully Meets,5596
MA,1902,63,Female,Married,US Citizen,Yes,White,Active,Executive Office,President & CEO,80.0,Board of Directors,Pay Per Click - Google,Fully Meets,4323
MA,2067,38,Female,Single,US Citizen,No,White,Active,IT/IS,CIO,65.0,Janet King,Employee Referral,Exceptional,5137
MA,2026,31,Female,Single,US Citizen,Yes,White,Terminated for Cause,IT/IS,Database Administrator,43.0,Simon Roup,Search Engine - Google Bing Yahoo,Fully Meets,432
MA,2127,46,Female,Single,US Citizen,No,White,Terminated for Cause,IT/IS,Database Administrator,48.5,Simon Roup,Glassdoor,Fully Meets,27
MA,1960,31,Male,Married,US Citizen,No,Black or African American,Terminated for Cause,IT/IS,Database Administrator,40.1,Simon Roup,Employee Referral,N/A- too early to review,6
MA,2493,33,Female,Single,US Citizen,No,White,Active,IT/IS,Database Administrator,34.0,Simon Roup,Glassdoor,N/A- too early to review,3322
MA,2301,31,Female,Married,US Citizen,No,Asian,Leave of Absence,IT/IS,Database Administrator,40.0,Simon Roup,Glassdoor,90-day meets,3405
TX,78230,29,Male,Divorced,US Citizen,No,Black or African American,Active,IT/IS,Database Administrator,35.5,Simon Roup,Diversity Job Fair,Exceptional,3461
MA,2747,33,Male,Married,US Citizen,No,White,Voluntarily Terminated,IT/IS,Database Administrator,41.0,Simon Roup,Employee Referral,Fully Meets,516
MA,1886,33,Female,Married,US Citizen,No,Asian,Active,IT/IS,Database Administrator,42.75,Simon Roup,Employee Referral,Exceptional,3461
MA,1886,36,Female,Married,US Citizen,No,White,Active,IT/IS,Database Administrator,39.55,Simon Roup,Employee Referral,Fully Meets,3363
MA,1810,31,Male,Married,US Citizen,No,White,Active,IT/IS,Database Administrator,42.2,Simon Roup,Pay Per Click - Google,N/A- too early to review,3322
MA,2452,30,Male,Divorced,US Citizen,No,Black or African American,Voluntarily Terminated,IT/IS,Database Administrator,45.0,Simon Roup,Vendor Referral,90-day meets,299
MA,2110,47,Male,Married,US Citizen,Yes,White,Active,IT/IS,Database Administrator,30.2,Simon Roup,Employee Referral,90-day meets,3405
MA,2148,38,Female,Single,US Citizen,No,White,Active,IT/IS,Database Administrator,31.4,Simon Roup,Employee Referral,90-day meets,3322
MA,1460,37,Male,Single,US Citizen,No,Black or African American,Active,IT/IS,IT Director,65.0,Jennifer Zamora,Professional Society,Exceptional,4767
